intervention_key,intervention_name,category,annual_cost_usd,total_cost_discounted,baseline_acceleration,modified_acceleration,delta_acceleration,acceleration_boost_factor,baseline_beneficiaries,modified_beneficiaries,delta_beneficiaries,value_generated_usd,roi,cost_per_beneficiary,cost_per_qaly,implementation_lag_years,evidence_quality,rank
adaptive_trials_expansion,Expand Adaptive Trial Designs,regulatory_reform,200000000,2259214627.875872,5.7294180064332965,6.3667726661702835,0.637354659736987,1.1112424785591366,885146784,983612706.1408087,98465922.1408087,39386368856323.484,17433.655204930572,22.944127051845808,5.736031762961452,1.5,4,1
real_world_evidence,Real-World Evidence Integration,regulatory_reform,200000000,1693492356.8969357,5.7294180064332965,6.013211481252608,0.28379347481931116,1.0495326880497553,885146784,928990483.5301161,43843699.53011608,17537479812046.432,10355.806886652364,38.62567199042321,9.656417997605802,4.0,3,2
industry_academia_partnerships,Industry-Academia AI Partnerships,talent_development,300000000,2044570540.6414008,5.7294180064332965,6.002841697288093,0.2734236908547967,1.0477227687956756,885146784,927388439.3230678,42241655.323067784,16896662129227.113,8264.161980895251,48.40176183921655,12.100440459804137,2.0,3,3
target_validation_initiative,Target Validation Initiative,research_funding,1000000000,9382603443.837837,5.7294180064332965,6.431624292204726,0.70220628577143,1.122561538533749,885146784,993631735.67524,108484951.67524004,43393980670096.016,4624.940287612352,86.48760310946672,21.62190077736668,3.0,3,4
ai_research_doubling,Double AI Research Funding,ai_investment,5000000000,34076175677.35668,5.7294180064332965,8.159635076615187,2.4302170701818904,1.4241647349614066,885146784,1260594835.0373015,375448051.03730154,150179220414920.62,4407.161819943116,90.76135988243855,22.69033997060964,2.0,3,5
accelerated_approval_expansion,Expand Accelerated Approval Pathways,regulatory_reform,100000000,778610892.1879104,5.7294180064332965,5.782227124313275,0.05280911787997855,1.0092171871245355,885146784,893305347.5408088,8158563.540808797,3263425416323.5186,4191.343133093393,95.43480151785678,23.858700379464196,1.0,4,6
translational_science_centers,Translational Science Centers,research_funding,600000000,6195119611.782955,5.7294180064332965,6.074627829435731,0.34520982300243475,1.0602521621942778,885146784,938478791.5953113,53332007.595311284,21332803038124.51,3443.4852553209917,116.1613802126512,29.0403450531628,2.0,3,7
biobank_expansion,National Biobank Expansion,data_infrastructure,800000000,8260159482.3772745,5.7294180064332965,6.118948034839241,0.38953002840594486,1.0679877132317035,885146784,945325889.7185566,60179105.71855664,24071642287422.656,2914.1861411730074,137.2595917428231,34.31489793570577,2.0,4,8
federated_health_data,Federated Health Data Network,data_infrastructure,1500000000,18615494116.091473,5.7294180064332965,6.569487845580048,0.8400698391467518,1.146623939500221,885146784,1014930492.5060312,129783708.50603116,51913483402412.46,2788.724439902875,143.43475256161597,35.85868814040399,3.0,2,9
ai_bio_training,AI-Biology Cross-Training Program,talent_development,500000000,5747593875.687243,5.7294180064332965,5.985316174891465,0.2558981684581685,1.0446639027159186,885146784,924680893.8498842,39534109.84988415,15813643939953.66,2751.3502662125397,145.38316146516414,36.345790366291034,4.0,3,10
pandemic_preparedness,100 Days Mission Infrastructure,international_coordination,3000000000,30975598058.91478,5.7294180064332965,6.91006110745114,1.1806431010178438,1.2060668465264979,885146784,1067546190.4919511,182399406.4919511,72959762596780.44,2355.394800062064,169.82291036282328,42.45572759070582,2.0,4,11
ai_compute_infrastructure,National AI Compute Infrastructure,ai_investment,2000000000,18765206887.675674,5.7294180064332965,6.3422416919329025,0.6128236854996061,1.1069608963443573,885146784,979822877.4129653,94676093.4129653,37870437365186.12,2018.1198956062715,198.2042795727131,49.55106989317827,3.0,2,12
harmonized_regulations,International Regulatory Harmonization,international_coordination,50000000,620516470.5363823,5.7294180064332965,5.7023992228958535,-0.027018783537442914,0.9952842010293009,885146784,880972609.7070953,-4174174.2929047346,-1669669717161.8938,-2690.7742121955444,inf,inf,3.0,3,13
